Date,Description,Outflow,Inflow
30/12/2019,Groupon Office,44.90,0
25/12/2019,Wöllhaf Retail GmbH,4.70,0
22/12/2019,Exchange EUR to  FX Rate €1 = £0.8473,17.71,0
